"","Age","education_level","Province","cps19_votechoice"
"170",57,"College","Ontario",0
"171",31,"High School","Newfoundland and Labrador",1
"172",63,"At or above Bachelor","Ontario",1
"173",72,"High School","Ontario",1
"174",53,"High School","Ontario",0
"175",23,"At or above Bachelor","Alberta",0
"176",59,"At or above Bachelor","Newfoundland and Labrador",1
"177",73,"Below high school","Ontario",1
"178",69,"High School","Quebec",1
"179",57,"At or above Bachelor","Quebec",1
"180",50,"At or above Bachelor","Ontario",1
"181",73,"High School","Newfoundland and Labrador",0
"182",52,"High School","Quebec",0
"183",79,"High School","Nova Scotia",0
"184",70,"At or above Bachelor","Ontario",1
"185",99,"At or above Bachelor","Ontario",1
"186",65,"High School","Quebec",0
"187",64,"College","New Brunswick",0
"188",39,"At or above Bachelor","Quebec",1
"189",35,"College","Alberta",0
"190",67,"At or above Bachelor","Ontario",1
"191",69,"At or above Bachelor","Ontario",0
"192",61,"High School","Ontario",1
"193",56,"At or above Bachelor","Ontario",0
"194",32,"At or above Bachelor","Ontario",1
"195",63,"College","Ontario",1
"196",76,"College","Ontario",0
"197",59,"High School","Quebec",1
"198",60,"High School","Quebec",0
"199",56,"High School","Quebec",1
"200",61,"At or above Bachelor","Ontario",1
"201",61,"At or above Bachelor","Ontario",1
"202",68,"High School","Ontario",1
"203",39,"College","Ontario",0
"204",38,"High School","Quebec",0
"205",45,"College","Quebec",0
"206",50,"College","New Brunswick",1
"207",71,"High School","Newfoundland and Labrador",1
"208",49,"At or above Bachelor","Ontario",1
"209",54,"At or above Bachelor","Ontario",0
"210",51,"High School","Quebec",0
"211",61,"College","Ontario",1
"212",56,"At or above Bachelor","Ontario",0
"213",64,"College","Ontario",1
"214",44,"College","Ontario",1
"215",52,"High School","British Columbia",0
"216",48,"College","Ontario",1
"217",57,"College","Quebec",0
"218",53,"At or above Bachelor","Quebec",1
"219",82,"High School","Ontario",0
"220",50,"At or above Bachelor","Newfoundland and Labrador",1
"221",58,"College","Quebec",1
"222",25,"At or above Bachelor","Nova Scotia",1
"223",61,"High School","Ontario",0
"224",39,"High School","Quebec",0
"225",56,"At or above Bachelor","Ontario",1
"226",71,"High School","Quebec",0
"227",52,"At or above Bachelor","Quebec",0
"228",31,"At or above Bachelor","Manitoba",0
"229",76,"High School","Ontario",0
"230",49,"At or above Bachelor","Ontario",0
"231",48,"At or above Bachelor","Ontario",1
"232",72,"College","Ontario",0
"233",60,"At or above Bachelor","Ontario",1
"234",19,"High School","Ontario",1
"235",62,"High School","Ontario",0
"236",24,"At or above Bachelor","Quebec",1
"237",34,"High School","Quebec",1
"238",48,"At or above Bachelor","Ontario",1
"239",32,"College","Alberta",1
"240",64,"High School","Quebec",0
"241",76,"At or above Bachelor","Ontario",1
"242",75,"College","Newfoundland and Labrador",1
"243",68,"High School","Ontario",1
"244",47,"College","Ontario",1
"245",31,"High School","Ontario",1
"246",69,"At or above Bachelor","Nova Scotia",1
"247",61,"High School","Ontario",0
"248",45,"At or above Bachelor","Quebec",0
"249",81,"High School","Ontario",1
"250",68,"College","Newfoundland and Labrador",0
"251",59,"High School","Quebec",1
"252",69,"High School","Ontario",0
"253",64,"High School","Ontario",0
"254",70,"At or above Bachelor","Ontario",1
"255",35,"High School","Ontario",0
"256",71,"College","Ontario",1
"257",39,"High School","Quebec",1
"258",48,"College","Newfoundland and Labrador",0
"259",39,"College","Quebec",1
"260",39,"College","Ontario",1
"261",51,"At or above Bachelor","Quebec",0
"262",64,"At or above Bachelor","Ontario",1
"263",56,"At or above Bachelor","Ontario",0
"264",72,"High School","Ontario",1
"265",82,"High School","Nova Scotia",1
"266",49,"High School","Quebec",1
"267",50,"High School","Ontario",1
"268",66,"Below high school","Ontario",1
"269",69,"High School","Ontario",0
"270",56,"College","Ontario",1
"271",61,"At or above Bachelor","Quebec",1
"272",47,"At or above Bachelor","British Columbia",1
"273",44,"At or above Bachelor","Ontario",1
"274",45,"At or above Bachelor","Quebec",0
"275",40,"At or above Bachelor","Ontario",1
"276",46,"At or above Bachelor","Quebec",1
"277",57,"High School","Ontario",0
"278",33,"At or above Bachelor","Ontario",1
"279",67,"College","Quebec",0
"280",55,"At or above Bachelor","Quebec",1
"281",75,"At or above Bachelor","Ontario",1
"282",55,"At or above Bachelor","Ontario",1
"283",19,"College","Quebec",1
"284",67,"At or above Bachelor","Ontario",0
"285",68,"High School","Quebec",1
"286",68,"High School","Alberta",0
"287",35,"At or above Bachelor","Ontario",1
"288",61,"At or above Bachelor","Ontario",1
"289",57,"High School","Ontario",1
"290",45,"At or above Bachelor","Northwest Territories",1
"291",19,"High School","Ontario",1
"292",65,"College","Quebec",1
"293",62,"At or above Bachelor","Ontario",1
"294",36,"At or above Bachelor","Ontario",0
"295",56,"High School","Quebec",0
"296",72,"At or above Bachelor","Ontario",0
"297",62,"High School","Quebec",1
"298",58,"High School","Ontario",1
"299",27,"College","Ontario",0
"300",56,"College","Quebec",1
"301",30,"At or above Bachelor","Quebec",1
"302",78,"At or above Bachelor","Ontario",1
"303",26,"High School","Quebec",0
"304",54,"High School","Nova Scotia",1
"305",63,"At or above Bachelor","Ontario",0
"306",76,"High School","Ontario",1
"307",62,"High School","Quebec",1
"308",42,"At or above Bachelor","Ontario",0
"309",65,"College","Ontario",1
"310",64,"High School","Ontario",0
"311",50,"At or above Bachelor","Ontario",0
"312",53,"College","Ontario",0
"313",49,"At or above Bachelor","Ontario",1
"314",56,"At or above Bachelor","Ontario",0
"315",71,"High School","Quebec",1
"316",63,"At or above Bachelor","British Columbia",1
"317",53,"At or above Bachelor","Ontario",0
"318",54,"Below high school","Northwest Territories",1
"319",70,"High School","Ontario",0
"320",49,"At or above Bachelor","Ontario",1
"321",67,"At or above Bachelor","Ontario",0
"322",53,"High School","Quebec",0
"323",40,"At or above Bachelor","Quebec",1
"324",63,"College","Ontario",0
"325",38,"At or above Bachelor","Ontario",0
"326",47,"High School","Quebec",0
"327",81,"At or above Bachelor","Ontario",0
"328",57,"Below high school","New Brunswick",1
"329",67,"High School","Quebec",0
"330",67,"At or above Bachelor","Ontario",0
"331",38,"High School","Quebec",1
"332",65,"At or above Bachelor","Ontario",0
"333",70,"At or above Bachelor","New Brunswick",0
"334",76,"At or above Bachelor","Ontario",0
"335",81,"At or above Bachelor","Ontario",1
"336",65,"At or above Bachelor","Nova Scotia",1
"337",62,"At or above Bachelor","Manitoba",1
"338",40,"College","Quebec",1
"339",55,"High School","Ontario",0
"340",42,"At or above Bachelor","Ontario",1
"341",40,"High School","Ontario",1
"342",59,"College","Quebec",1
"343",70,"At or above Bachelor","Newfoundland and Labrador",0
"344",73,"High School","Quebec",1
"345",34,"College","Quebec",1
"346",54,"At or above Bachelor","Ontario",0
"347",65,"College","Ontario",1
"348",46,"At or above Bachelor","Quebec",0
"349",45,"At or above Bachelor","Ontario",1
"350",48,"At or above Bachelor","Quebec",0
"351",34,"College","Ontario",1
"352",73,"At or above Bachelor","Ontario",1
"353",55,"High School","Ontario",1
"354",50,"High School","Quebec",0
"355",54,"High School","Quebec",1
"356",65,"At or above Bachelor","Ontario",1
"357",51,"At or above Bachelor","Ontario",1
"358",58,"High School","Quebec",1
"359",75,"College","Ontario",0
"360",71,"High School","Nova Scotia",1
"361",62,"High School","Quebec",1
"362",76,"At or above Bachelor","Ontario",0
"363",71,"At or above Bachelor","Quebec",0
"364",88,"At or above Bachelor","Ontario",1
"365",51,"At or above Bachelor","Quebec",1
"366",67,"At or above Bachelor","Ontario",0
"367",75,"High School","Quebec",0
"368",50,"College","Ontario",1
"369",42,"High School","Ontario",0
"370",73,"At or above Bachelor","Ontario",1
"371",53,"College","Quebec",0
"372",70,"At or above Bachelor","Nova Scotia",1
"373",31,"At or above Bachelor","Quebec",1
"374",46,"At or above Bachelor","Nova Scotia",1
"375",72,"At or above Bachelor","Ontario",1
"376",72,"High School","Newfoundland and Labrador",1
"377",48,"At or above Bachelor","Quebec",0
"378",66,"High School","Quebec",1
"379",73,"At or above Bachelor","Quebec",0
"380",36,"At or above Bachelor","Ontario",0
"381",72,"High School","Ontario",0
"382",61,"At or above Bachelor","Quebec",1
"383",57,"High School","Ontario",1
"384",70,"College","Ontario",0
"385",63,"Below high school","Ontario",0
"386",59,"At or above Bachelor","Nova Scotia",0
"387",45,"At or above Bachelor","Ontario",0
"388",78,"High School","Nova Scotia",0
"389",40,"At or above Bachelor","Ontario",0
"390",57,"High School","Ontario",0
"391",44,"High School","Ontario",1
"392",66,"At or above Bachelor","Ontario",1
"393",68,"At or above Bachelor","Ontario",1
"394",35,"At or above Bachelor","Ontario",1
"395",70,"At or above Bachelor","Ontario",0
"396",40,"High School","Quebec",0
"397",65,"At or above Bachelor","Quebec",1
"398",75,"Below high school","Ontario",1
"399",63,"College","Quebec",1
"400",36,"High School","New Brunswick",1
"401",54,"Below high school","Ontario",1
"402",32,"At or above Bachelor","Quebec",1
"403",62,"High School","New Brunswick",0
"404",66,"At or above Bachelor","Ontario",1
"405",30,"At or above Bachelor","Ontario",0
"406",42,"High School","Quebec",1
"407",38,"At or above Bachelor","Ontario",0
"408",31,"High School","Quebec",1
"409",33,"At or above Bachelor","New Brunswick",1
"410",76,"Below high school","Quebec",1
"411",36,"High School","Quebec",0
"412",57,"High School","Ontario",1
"413",72,"High School","Quebec",1
"414",63,"High School","Ontario",1
"415",42,"At or above Bachelor","Ontario",0
"416",72,"High School","Nova Scotia",1
"417",50,"College","Quebec",0
"418",76,"High School","Ontario",0
"419",35,"At or above Bachelor","Ontario",1
"420",64,"At or above Bachelor","Quebec",0
"421",55,"High School","Ontario",1
"422",57,"At or above Bachelor","Ontario",1
"423",55,"College","Ontario",0
"424",44,"At or above Bachelor","Ontario",1
"425",49,"At or above Bachelor","Ontario",1
"426",61,"High School","Ontario",0
"427",72,"High School","Ontario",1
"428",34,"At or above Bachelor","Alberta",0
"429",54,"High School","Quebec",0
"430",41,"At or above Bachelor","Quebec",1
"431",52,"High School","Ontario",0
"432",39,"At or above Bachelor","Ontario",0
"433",75,"High School","Ontario",0
"434",60,"High School","Ontario",1
"435",59,"At or above Bachelor","Ontario",0
"436",55,"College","Quebec",0
"437",37,"College","Ontario",1
"438",57,"College","Ontario",1
"439",56,"High School","Ontario",0
"440",66,"At or above Bachelor","Quebec",0
"441",74,"Below high school","Quebec",1
"442",65,"High School","Ontario",1
"443",67,"College","Ontario",0
"444",50,"Below high school","Ontario",0
"445",55,"At or above Bachelor","Newfoundland and Labrador",0
"446",45,"At or above Bachelor","Ontario",1
"447",68,"High School","Ontario",0
"448",65,"At or above Bachelor","Ontario",0
"449",83,"High School","Ontario",0
"450",36,"High School","Ontario",0
"451",76,"High School","Ontario",1
"452",53,"At or above Bachelor","Newfoundland and Labrador",0
"453",53,"College","Ontario",0
"454",71,"Below high school","Quebec",0
"455",53,"High School","Ontario",1
"456",72,"At or above Bachelor","New Brunswick",1
"457",48,"High School","Ontario",1
"458",70,"At or above Bachelor","Ontario",1
"459",67,"College","Ontario",1
"460",65,"At or above Bachelor","Nova Scotia",1
"461",62,"At or above Bachelor","Ontario",1
"462",70,"At or above Bachelor","Ontario",1
"463",74,"Below high school","Ontario",1
"464",72,"At or above Bachelor","Ontario",1
"465",46,"High School","Quebec",1
"466",40,"At or above Bachelor","Ontario",1
"467",60,"High School","Ontario",1
"468",64,"At or above Bachelor","Ontario",1
"469",41,"At or above Bachelor","Ontario",1
"470",51,"College","Ontario",1
"471",61,"Below high school","Ontario",1
"472",75,"High School","Quebec",0
"473",47,"At or above Bachelor","Newfoundland and Labrador",1
"474",49,"College","Ontario",1
"475",74,"High School","Ontario",1
"476",52,"High School","Ontario",0
"477",76,"High School","Ontario",1
"478",64,"High School","Ontario",1
"479",29,"At or above Bachelor","Ontario",0
"480",64,"At or above Bachelor","Nova Scotia",1
"481",62,"At or above Bachelor","Ontario",0
"482",59,"High School","Ontario",1
"483",66,"At or above Bachelor","Ontario",1
"484",50,"At or above Bachelor","Ontario",1
"485",29,"At or above Bachelor","Ontario",1
"486",64,"At or above Bachelor","Ontario",0
"487",57,"High School","Ontario",0
"488",32,"College","Ontario",0
"489",73,"At or above Bachelor","Ontario",1
"490",64,"High School","New Brunswick",1
"491",54,"At or above Bachelor","Ontario",0
"492",39,"At or above Bachelor","Newfoundland and Labrador",1
"493",44,"At or above Bachelor","Ontario",1
"494",67,"High School","Quebec",0
"495",59,"At or above Bachelor","Ontario",1
"496",47,"At or above Bachelor","Ontario",1
"497",64,"High School","Quebec",0
"498",64,"At or above Bachelor","Ontario",1
"499",60,"High School","Nova Scotia",1
"500",65,"High School","Nova Scotia",0
"501",57,"At or above Bachelor","New Brunswick",1
"502",46,"At or above Bachelor","Quebec",1
"503",61,"At or above Bachelor","Quebec",0
"504",51,"College","Quebec",0
"505",32,"At or above Bachelor","Quebec",0
"506",59,"High School","Quebec",1
"507",75,"At or above Bachelor","Ontario",1
"508",66,"At or above Bachelor","Ontario",0
"509",66,"At or above Bachelor","Newfoundland and Labrador",1
"510",42,"High School","Ontario",0
"511",70,"At or above Bachelor","Ontario",1
"512",74,"At or above Bachelor","Quebec",1
"513",71,"High School","Ontario",0
"514",43,"At or above Bachelor","Newfoundland and Labrador",0
"515",70,"High School","Ontario",0
"516",45,"At or above Bachelor","Quebec",0
"517",46,"Below high school","Quebec",0
"518",34,"At or above Bachelor","Ontario",1
"519",44,"At or above Bachelor","Ontario",1
"520",64,"High School","Ontario",1
"521",59,"College","Quebec",0
"522",41,"At or above Bachelor","New Brunswick",0
"523",35,"High School","Ontario",0
"524",19,"At or above Bachelor","Quebec",1
"525",42,"At or above Bachelor","Ontario",0
"526",62,"High School","Ontario",1
"527",42,"High School","Manitoba",0
"528",53,"High School","Ontario",1
"529",27,"At or above Bachelor","Quebec",1
"530",40,"At or above Bachelor","Quebec",1
"531",60,"At or above Bachelor","Nova Scotia",1
"532",47,"At or above Bachelor","Quebec",1
"533",36,"College","Ontario",1
"534",40,"At or above Bachelor","Ontario",1
"535",59,"At or above Bachelor","Quebec",1
"536",41,"High School","Manitoba",1
"537",41,"High School","Ontario",1
"538",66,"At or above Bachelor","Ontario",1
"539",58,"High School","Quebec",0
"540",82,"At or above Bachelor","Ontario",1
"541",67,"High School","Ontario",1
"542",60,"College","New Brunswick",1
"543",32,"High School","Quebec",0
"544",20,"High School","Ontario",1
"545",70,"At or above Bachelor","Alberta",1
"546",50,"At or above Bachelor","Ontario",1
"547",63,"At or above Bachelor","Ontario",1
"548",73,"High School","Quebec",1
