"","Age","education_level","Province","cps19_votechoice"
"4455",72,"At or above Bachelor","British Columbia",0
"4456",54,"High School","Ontario",0
"4457",84,"Below high school","British Columbia",0
"4458",22,"At or above Bachelor","Quebec",1
"4459",50,"Below high school","Ontario",0
"4460",31,"College","British Columbia",1
"4461",52,"High School","British Columbia",1
"4462",61,"Below high school","Ontario",0
"4463",28,"College","Alberta",1
"4464",64,"At or above Bachelor","Ontario",1
"4465",22,"High School","British Columbia",1
"4466",41,"At or above Bachelor","Ontario",1
"4467",63,"College","Alberta",0
"4468",38,"At or above Bachelor","Ontario",1
"4469",60,"At or above Bachelor","Ontario",1
"4470",29,"At or above Bachelor","Ontario",1
"4471",53,"At or above Bachelor","British Columbia",1
"4472",71,"High School","Quebec",0
"4473",34,"At or above Bachelor","British Columbia",1
"4474",67,"At or above Bachelor","Saskatchewan",0
"4475",39,"At or above Bachelor","Ontario",1
"4476",57,"High School","Ontario",1
"4477",77,"High School","Nova Scotia",0
"4478",44,"College","New Brunswick",1
"4479",22,"High School","Alberta",0
"4480",62,"At or above Bachelor","Ontario",0
"4481",49,"High School","Quebec",0
"4482",49,"High School","Alberta",0
"4483",47,"At or above Bachelor","Ontario",0
"4484",36,"At or above Bachelor","Nova Scotia",1
"4485",35,"High School","British Columbia",1
"4486",59,"High School","Ontario",1
"4487",61,"At or above Bachelor","New Brunswick",1
"4488",37,"At or above Bachelor","Ontario",0
"4489",44,"College","Saskatchewan",0
"4490",69,"College","Ontario",0
"4491",68,"High School","Ontario",0
"4492",60,"High School","Alberta",0
"4493",37,"High School","Quebec",1
"4494",52,"High School","Quebec",1
"4495",47,"At or above Bachelor","Ontario",0
"4496",43,"At or above Bachelor","Quebec",1
"4497",53,"College","British Columbia",1
"4498",49,"At or above Bachelor","British Columbia",0
"4499",83,"College","Ontario",0
"4500",40,"At or above Bachelor","Alberta",0
"4501",67,"College","Prince Edward Island",0
"4502",50,"At or above Bachelor","British Columbia",0
"4503",45,"At or above Bachelor","British Columbia",1
"4504",35,"High School","Alberta",0
"4505",44,"At or above Bachelor","Alberta",0
"4506",66,"Below high school","Newfoundland and Labrador",0
"4507",62,"At or above Bachelor","Quebec",1
"4508",70,"College","British Columbia",1
"4509",78,"High School","Ontario",1
"4510",60,"High School","Alberta",0
"4511",76,"At or above Bachelor","Ontario",1
"4512",76,"High School","Ontario",0
"4513",71,"High School","Quebec",1
"4514",56,"High School","Ontario",0
"4515",74,"High School","Newfoundland and Labrador",1
"4516",27,"High School","Ontario",1
"4517",59,"High School","Ontario",1
"4518",61,"At or above Bachelor","Alberta",1
"4519",40,"At or above Bachelor","Ontario",1
"4520",50,"At or above Bachelor","Nova Scotia",0
"4521",37,"High School","Ontario",0
"4522",61,"High School","Nova Scotia",1
"4523",35,"At or above Bachelor","New Brunswick",1
"4524",64,"College","Quebec",0
"4525",65,"College","Ontario",1
"4526",65,"College","Ontario",0
"4527",57,"College","Ontario",1
"4528",70,"Below high school","British Columbia",1
"4529",30,"At or above Bachelor","Manitoba",0
"4530",49,"High School","British Columbia",0
"4531",63,"At or above Bachelor","Ontario",0
"4532",44,"College","Alberta",0
"4533",69,"High School","Ontario",0
"4534",55,"High School","Alberta",0
"4535",43,"At or above Bachelor","Alberta",1
"4536",31,"College","Newfoundland and Labrador",1
"4537",55,"High School","Ontario",0
"4538",65,"College","British Columbia",1
"4539",67,"At or above Bachelor","Alberta",0
"4540",29,"High School","Ontario",1
"4541",42,"College","Ontario",0
"4542",52,"College","Newfoundland and Labrador",0
"4543",67,"Below high school","Manitoba",1
"4544",52,"High School","Manitoba",0
"4545",50,"College","Ontario",0
"4546",34,"College","Alberta",0
"4547",29,"At or above Bachelor","Ontario",0
"4548",48,"High School","Ontario",1
"4549",22,"At or above Bachelor","Ontario",1
"4550",42,"At or above Bachelor","Ontario",1
"4551",28,"At or above Bachelor","Ontario",1
"4552",63,"At or above Bachelor","Ontario",1
"4553",45,"At or above Bachelor","Ontario",1
"4554",26,"At or above Bachelor","Alberta",0
"4555",71,"High School","British Columbia",1
"4556",64,"College","Quebec",0
"4557",50,"College","Alberta",0
"4558",34,"At or above Bachelor","Quebec",1
"4559",30,"At or above Bachelor","Alberta",0
"4560",66,"High School","Nova Scotia",1
"4561",57,"College","Ontario",0
"4562",49,"High School","Ontario",0
"4563",34,"High School","British Columbia",0
"4564",54,"At or above Bachelor","Ontario",0
"4565",39,"At or above Bachelor","Ontario",0
"4566",72,"High School","Ontario",1
"4567",21,"College","Quebec",1
"4568",62,"High School","Ontario",1
"4569",54,"At or above Bachelor","Ontario",0
"4570",60,"Below high school","Alberta",0
"4571",40,"College","Ontario",0
"4572",59,"High School","Alberta",0
"4573",53,"At or above Bachelor","Ontario",1
"4574",75,"At or above Bachelor","New Brunswick",1
"4575",40,"At or above Bachelor","British Columbia",0
"4576",47,"College","Ontario",0
"4577",55,"High School","Nova Scotia",0
"4578",31,"High School","Ontario",1
"4579",63,"High School","Nova Scotia",1
"4580",57,"High School","Saskatchewan",0
"4581",55,"At or above Bachelor","Ontario",1
"4582",19,"High School","Ontario",1
"4583",35,"At or above Bachelor","Newfoundland and Labrador",0
"4584",54,"At or above Bachelor","Ontario",1
"4585",30,"At or above Bachelor","Alberta",0
"4586",74,"Below high school","British Columbia",0
"4587",41,"High School","Ontario",0
"4588",33,"High School","Quebec",1
"4589",62,"College","Newfoundland and Labrador",1
"4590",28,"College","Ontario",0
"4591",51,"At or above Bachelor","Quebec",1
"4592",67,"High School","Manitoba",0
"4593",61,"At or above Bachelor","Saskatchewan",0
"4594",65,"College","Ontario",1
"4595",40,"At or above Bachelor","Ontario",0
"4596",63,"At or above Bachelor","Ontario",0
"4597",44,"High School","Alberta",0
"4598",53,"High School","Ontario",1
"4599",44,"At or above Bachelor","Manitoba",1
"4600",66,"At or above Bachelor","Quebec",1
"4601",80,"College","Alberta",1
"4602",65,"High School","Ontario",0
"4603",40,"At or above Bachelor","Ontario",1
"4604",33,"Below high school","Alberta",0
"4605",41,"High School","Ontario",0
"4606",52,"High School","Alberta",1
"4607",34,"At or above Bachelor","Ontario",1
"4608",32,"College","Ontario",0
"4609",62,"High School","Ontario",1
"4610",62,"At or above Bachelor","British Columbia",1
"4611",28,"College","Ontario",1
"4612",69,"At or above Bachelor","Ontario",0
"4613",68,"High School","Ontario",0
"4614",52,"At or above Bachelor","Ontario",0
"4615",58,"Below high school","British Columbia",1
"4616",57,"High School","Saskatchewan",1
"4617",73,"At or above Bachelor","Ontario",0
"4618",60,"College","Manitoba",0
"4619",48,"High School","Alberta",0
"4620",68,"High School","Quebec",1
"4621",66,"High School","Newfoundland and Labrador",0
"4622",58,"College","Alberta",0
"4623",22,"High School","British Columbia",0
"4624",29,"At or above Bachelor","Ontario",1
"4625",61,"At or above Bachelor","Saskatchewan",1
"4626",66,"High School","Ontario",1
"4627",40,"At or above Bachelor","Ontario",1
"4628",60,"Below high school","Ontario",0
"4629",61,"High School","British Columbia",1
"4630",63,"High School","Ontario",1
"4631",30,"Below high school","Alberta",0
"4632",25,"At or above Bachelor","Manitoba",0
"4633",64,"High School","Quebec",1
"4634",39,"At or above Bachelor","Ontario",1
"4635",73,"High School","Ontario",0
"4636",58,"At or above Bachelor","Ontario",1
"4637",59,"At or above Bachelor","Ontario",0
"4638",42,"High School","Ontario",0
"4639",59,"College","Quebec",0
"4640",73,"High School","Alberta",0
"4641",56,"College","Newfoundland and Labrador",1
"4642",53,"At or above Bachelor","Ontario",1
"4643",67,"At or above Bachelor","Ontario",1
"4644",50,"College","Alberta",0
"4645",68,"Below high school","Ontario",1
"4646",74,"High School","Ontario",1
"4647",51,"Below high school","Alberta",0
"4648",32,"College","Ontario",0
"4649",50,"High School","Newfoundland and Labrador",0
"4650",61,"High School","Ontario",1
"4651",78,"High School","Ontario",1
"4652",32,"Below high school","Ontario",1
"4653",66,"At or above Bachelor","Quebec",1
"4654",73,"High School","Quebec",0
"4655",23,"High School","Ontario",1
"4656",46,"At or above Bachelor","Ontario",0
"4657",25,"At or above Bachelor","Ontario",1
"4658",78,"High School","Saskatchewan",0
"4659",50,"High School","Newfoundland and Labrador",1
"4660",38,"At or above Bachelor","Ontario",1
"4661",48,"High School","Alberta",0
"4662",35,"High School","Ontario",1
"4663",73,"High School","Saskatchewan",1
"4664",40,"High School","Alberta",0
"4665",69,"High School","Quebec",1
"4666",71,"At or above Bachelor","British Columbia",1
"4667",60,"High School","Ontario",1
"4668",29,"At or above Bachelor","Ontario",1
"4669",35,"High School","Alberta",0
"4670",51,"College","Ontario",0
"4671",38,"High School","Alberta",0
"4672",39,"At or above Bachelor","Quebec",0
"4673",45,"High School","Ontario",0
"4674",73,"High School","Ontario",1
"4675",66,"At or above Bachelor","Ontario",0
"4676",67,"At or above Bachelor","Ontario",1
"4677",31,"At or above Bachelor","Quebec",1
"4678",65,"College","Manitoba",1
"4679",78,"High School","British Columbia",0
"4680",39,"College","Ontario",0
"4681",84,"High School","Quebec",1
"4682",25,"At or above Bachelor","Alberta",0
"4683",53,"At or above Bachelor","Nova Scotia",0
"4684",68,"College","Ontario",1
"4685",49,"At or above Bachelor","Saskatchewan",1
"4686",38,"At or above Bachelor","British Columbia",1
"4687",59,"High School","Alberta",1
"4688",35,"High School","British Columbia",0
"4689",62,"High School","Quebec",1
"4690",62,"High School","Alberta",0
"4691",40,"High School","Ontario",0
"4692",77,"At or above Bachelor","Ontario",1
"4693",44,"College","British Columbia",1
"4694",48,"High School","Alberta",0
"4695",21,"High School","British Columbia",0
"4696",71,"Below high school","Ontario",0
"4697",44,"College","Saskatchewan",0
"4698",52,"High School","Nova Scotia",1
"4699",59,"High School","Nova Scotia",1
"4700",39,"High School","New Brunswick",0
"4701",54,"High School","Alberta",0
"4702",44,"College","Ontario",0
"4703",67,"College","Alberta",0
"4704",64,"High School","Alberta",0
"4705",76,"At or above Bachelor","Ontario",1
"4706",48,"At or above Bachelor","Ontario",1
"4707",71,"College","Nova Scotia",0
"4708",68,"High School","Quebec",1
"4709",63,"At or above Bachelor","Ontario",1
"4710",39,"At or above Bachelor","Saskatchewan",1
"4711",42,"At or above Bachelor","Ontario",1
"4712",32,"College","Alberta",0
"4713",72,"At or above Bachelor","Quebec",0
"4714",31,"At or above Bachelor","Quebec",1
"4715",57,"High School","Ontario",0
"4716",56,"High School","Quebec",0
"4717",56,"High School","Ontario",1
"4718",51,"High School","Alberta",0
"4719",65,"At or above Bachelor","Ontario",1
"4720",79,"At or above Bachelor","Alberta",0
"4721",58,"High School","Quebec",0
"4722",66,"High School","Ontario",0
"4723",50,"High School","Manitoba",0
"4724",52,"At or above Bachelor","Ontario",1
"4725",42,"At or above Bachelor","Ontario",0
"4726",64,"High School","Newfoundland and Labrador",0
"4727",36,"At or above Bachelor","Nova Scotia",1
"4728",63,"High School","Alberta",0
"4729",19,"High School","Ontario",1
"4730",66,"High School","New Brunswick",0
"4731",70,"College","Alberta",0
"4732",50,"High School","Ontario",1
"4733",60,"High School","Saskatchewan",0
"4734",59,"At or above Bachelor","Quebec",1
"4735",65,"At or above Bachelor","Ontario",1
"4736",55,"High School","Ontario",1
"4737",60,"College","Saskatchewan",0
"4738",65,"At or above Bachelor","Ontario",1
"4739",62,"At or above Bachelor","Ontario",1
"4740",63,"Below high school","Quebec",1
"4741",72,"High School","New Brunswick",0
"4742",68,"High School","Alberta",0
"4743",63,"At or above Bachelor","Alberta",0
"4744",43,"At or above Bachelor","Ontario",1
"4745",25,"High School","Alberta",0
"4746",61,"High School","Ontario",1
"4747",59,"At or above Bachelor","Ontario",1
"4748",44,"High School","British Columbia",1
"4749",82,"College","Alberta",0
"4750",67,"High School","Alberta",0
"4751",41,"At or above Bachelor","Ontario",1
"4752",65,"High School","Alberta",0
"4753",61,"At or above Bachelor","Ontario",1
"4754",28,"At or above Bachelor","Manitoba",1
"4755",59,"At or above Bachelor","British Columbia",0
"4756",80,"At or above Bachelor","Alberta",1
"4757",61,"College","Newfoundland and Labrador",0
"4758",64,"High School","British Columbia",0
"4759",54,"College","Nova Scotia",1
"4760",56,"At or above Bachelor","Ontario",0
"4761",49,"High School","Alberta",0
"4762",49,"College","Quebec",0
"4763",64,"College","Ontario",0
"4764",56,"College","Ontario",0
"4765",77,"At or above Bachelor","British Columbia",0
"4766",62,"At or above Bachelor","Ontario",1
"4767",40,"At or above Bachelor","Quebec",1
"4768",65,"College","Alberta",0
"4769",42,"College","Alberta",0
"4770",98,"High School","British Columbia",0
"4771",67,"College","British Columbia",1
"4772",65,"College","Ontario",0
"4773",37,"At or above Bachelor","Quebec",1
"4774",65,"High School","British Columbia",0
"4775",58,"At or above Bachelor","Quebec",1
"4776",33,"High School","Alberta",1
"4777",75,"At or above Bachelor","Alberta",0
"4778",44,"College","Prince Edward Island",1
"4779",69,"At or above Bachelor","Manitoba",1
"4780",63,"High School","Ontario",1
"4781",35,"College","Nova Scotia",1
"4782",25,"At or above Bachelor","Quebec",1
"4783",34,"At or above Bachelor","British Columbia",0
"4784",65,"High School","Ontario",0
"4785",64,"At or above Bachelor","Quebec",1
"4786",65,"College","Ontario",0
"4787",56,"College","British Columbia",0
"4788",64,"High School","British Columbia",1
"4789",53,"At or above Bachelor","Ontario",1
"4790",39,"College","Ontario",0
"4791",20,"High School","Alberta",1
"4792",55,"At or above Bachelor","British Columbia",1
"4793",61,"High School","Quebec",1
"4794",26,"High School","Manitoba",0
"4795",30,"College","Quebec",0
"4796",45,"College","British Columbia",0
"4797",47,"High School","Ontario",1
"4798",29,"At or above Bachelor","British Columbia",0
"4799",37,"At or above Bachelor","Ontario",1
"4800",54,"College","Ontario",1
"4801",37,"At or above Bachelor","Alberta",0
"4802",55,"High School","Ontario",1
"4803",62,"At or above Bachelor","Alberta",0
"4804",42,"At or above Bachelor","Ontario",0
"4805",43,"College","British Columbia",0
"4806",41,"College","Ontario",0
"4807",33,"At or above Bachelor","British Columbia",0
"4808",62,"High School","Ontario",1
"4809",51,"High School","Ontario",0
"4810",65,"At or above Bachelor","Ontario",1
"4811",45,"College","Ontario",1
"4812",29,"At or above Bachelor","Ontario",1
"4813",66,"At or above Bachelor","Ontario",1
"4814",69,"College","Newfoundland and Labrador",1
"4815",28,"At or above Bachelor","Ontario",1
"4816",45,"High School","British Columbia",0
"4817",25,"College","Quebec",1
"4818",38,"At or above Bachelor","Ontario",0
"4819",41,"High School","Ontario",1
"4820",67,"High School","Quebec",1
"4821",37,"At or above Bachelor","New Brunswick",1
"4822",41,"College","Ontario",1
"4823",32,"At or above Bachelor","Ontario",1
"4824",51,"At or above Bachelor","New Brunswick",1
"4825",20,"High School","Manitoba",0
"4826",99,"High School","Ontario",1
"4827",34,"College","Saskatchewan",0
"4828",60,"High School","Manitoba",0
"4829",45,"At or above Bachelor","Ontario",1
"4830",29,"At or above Bachelor","Nova Scotia",1
"4831",28,"High School","Saskatchewan",0
"4832",29,"Below high school","Saskatchewan",1
"4833",46,"At or above Bachelor","Ontario",0
"4834",39,"At or above Bachelor","Ontario",1
"4835",57,"At or above Bachelor","Ontario",0
"4836",29,"At or above Bachelor","Ontario",1
"4837",65,"High School","Ontario",1
"4838",34,"College","British Columbia",0
"4839",31,"High School","Ontario",1
"4840",65,"High School","Saskatchewan",0
"4841",29,"At or above Bachelor","Ontario",1
"4842",66,"High School","New Brunswick",1
"4843",25,"High School","Ontario",0
"4844",29,"At or above Bachelor","Ontario",1
"4845",65,"College","Ontario",0
"4846",66,"High School","British Columbia",0
"4847",65,"High School","Ontario",1
"4848",69,"High School","Ontario",1
"4849",39,"High School","Ontario",1
"4850",20,"Below high school","Saskatchewan",1
"4851",47,"At or above Bachelor","Nova Scotia",1
"4852",30,"At or above Bachelor","Ontario",0
"4853",52,"At or above Bachelor","Ontario",1
"4854",19,"High School","Ontario",1
"4855",54,"High School","Ontario",0
"4856",49,"College","Ontario",1
"4857",23,"At or above Bachelor","Newfoundland and Labrador",1
"4858",27,"At or above Bachelor","Ontario",1
"4859",40,"High School","Alberta",0
"4860",51,"College","Ontario",1
"4861",39,"High School","Ontario",1
"4862",47,"High School","Quebec",0
"4863",71,"High School","Ontario",0
"4864",35,"At or above Bachelor","Quebec",1
"4865",42,"At or above Bachelor","Ontario",1
"4866",68,"High School","Newfoundland and Labrador",1
"4867",70,"College","British Columbia",1
"4868",72,"High School","Ontario",0
"4869",38,"College","Ontario",0
"4870",54,"At or above Bachelor","Ontario",1
"4871",53,"High School","Ontario",0
"4872",67,"At or above Bachelor","Manitoba",0
"4873",34,"At or above Bachelor","Quebec",1
"4874",76,"High School","Quebec",0
"4875",54,"College","Ontario",0
"4876",33,"At or above Bachelor","Alberta",1
"4877",71,"College","Ontario",1
"4878",66,"High School","Ontario",1
"4879",71,"At or above Bachelor","Ontario",1
"4880",71,"High School","British Columbia",0
"4881",51,"College","Ontario",0
"4882",81,"High School","Ontario",0
"4883",30,"At or above Bachelor","Ontario",1
"4884",31,"At or above Bachelor","Ontario",1
"4885",45,"At or above Bachelor","Alberta",0
"4886",41,"College","Ontario",0
"4887",50,"At or above Bachelor","Ontario",1
"4888",36,"Below high school","Manitoba",0
"4889",73,"College","Prince Edward Island",1
"4890",76,"At or above Bachelor","Quebec",1
"4891",73,"At or above Bachelor","Ontario",1
"4892",44,"High School","Ontario",1
"4893",28,"College","Quebec",1
"4894",32,"At or above Bachelor","Ontario",1
"4895",49,"High School","Quebec",0
"4896",52,"At or above Bachelor","Ontario",1
"4897",24,"At or above Bachelor","Ontario",1
"4898",79,"At or above Bachelor","British Columbia",0
"4899",60,"College","Quebec",1
"4900",59,"Below high school","Ontario",1
"4901",57,"College","Manitoba",1
"4902",33,"College","Ontario",1
"4903",49,"High School","Alberta",0
"4904",50,"College","Alberta",0
"4905",54,"Below high school","Ontario",1
"4906",62,"High School","Manitoba",1
"4907",60,"Below high school","Ontario",0
"4908",43,"At or above Bachelor","Manitoba",0
"4909",73,"High School","Quebec",0
"4910",35,"College","Ontario",1
"4911",71,"At or above Bachelor","Ontario",1
"4912",24,"High School","Ontario",1
"4913",27,"High School","Quebec",1
"4914",65,"At or above Bachelor","Quebec",0
"4915",71,"College","British Columbia",1
"4916",40,"High School","Alberta",0
"4917",57,"College","Ontario",1
"4918",64,"At or above Bachelor","Quebec",1
"4919",21,"At or above Bachelor","Alberta",0
"4920",76,"At or above Bachelor","Alberta",0
"4921",22,"At or above Bachelor","Quebec",0
"4922",48,"At or above Bachelor","Ontario",0
"4923",70,"High School","British Columbia",1
"4924",60,"High School","Quebec",1
"4925",40,"At or above Bachelor","Ontario",1
"4926",37,"At or above Bachelor","Ontario",1
"4927",69,"High School","Saskatchewan",0
"4928",26,"High School","Newfoundland and Labrador",0
"4929",56,"College","Ontario",0
"4930",31,"High School","British Columbia",1
"4931",73,"College","Ontario",0
"4932",56,"High School","Alberta",1
"4933",75,"High School","Ontario",0
"4934",52,"College","Nova Scotia",0
"4935",22,"College","Ontario",1
"4936",33,"High School","Alberta",1
"4937",48,"At or above Bachelor","Alberta",1
"4938",57,"At or above Bachelor","Ontario",0
"4939",39,"High School","Ontario",1
"4940",60,"At or above Bachelor","Ontario",0
"4941",78,"High School","Quebec",1
"4942",84,"At or above Bachelor","Ontario",0
"4943",39,"At or above Bachelor","Ontario",0
"4944",42,"At or above Bachelor","Ontario",1
"4945",57,"High School","Ontario",0
"4946",33,"College","Nova Scotia",1
"4947",71,"High School","Alberta",0
"4948",76,"At or above Bachelor","British Columbia",1
"4949",36,"High School","Nova Scotia",1
"4950",67,"College","Saskatchewan",1
"4951",67,"At or above Bachelor","Ontario",0
"4952",38,"High School","Ontario",0
"4953",63,"At or above Bachelor","Quebec",1
"4954",76,"Below high school","Quebec",1
"4955",46,"At or above Bachelor","Saskatchewan",0
"4956",65,"High School","Alberta",0
"4957",69,"At or above Bachelor","Ontario",1
"4958",53,"High School","Alberta",0
"4959",63,"At or above Bachelor","Ontario",0
"4960",41,"High School","Ontario",1
"4961",84,"High School","Manitoba",0
"4962",19,"High School","Ontario",1
"4963",26,"At or above Bachelor","Quebec",1
"4964",70,"High School","Ontario",0
"4965",18,"High School","Alberta",0
"4966",66,"At or above Bachelor","Ontario",1
"4967",52,"High School","Ontario",0
"4968",67,"College","Ontario",0
"4969",69,"At or above Bachelor","British Columbia",1
"4970",44,"College","Ontario",1
"4971",68,"College","Manitoba",0
"4972",48,"At or above Bachelor","Ontario",1
"4973",74,"High School","British Columbia",1
"4974",28,"At or above Bachelor","Alberta",0
"4975",48,"At or above Bachelor","Ontario",0
"4976",41,"At or above Bachelor","Ontario",0
"4977",65,"High School","British Columbia",1
"4978",61,"High School","British Columbia",1
"4979",64,"At or above Bachelor","Quebec",1
"4980",62,"At or above Bachelor","Ontario",0
"4981",75,"At or above Bachelor","British Columbia",0
"4982",67,"At or above Bachelor","Quebec",1
"4983",66,"High School","Ontario",0
"4984",49,"At or above Bachelor","Ontario",0
"4985",67,"High School","Quebec",0
"4986",70,"High School","Quebec",0
"4987",47,"High School","Ontario",0
"4988",46,"Below high school","Alberta",0
"4989",65,"At or above Bachelor","Ontario",1
"4990",55,"College","Ontario",1
"4991",71,"At or above Bachelor","Quebec",0
"4992",75,"High School","British Columbia",0
"4993",63,"At or above Bachelor","Quebec",1
"4994",72,"High School","Ontario",1
"4995",72,"At or above Bachelor","Ontario",1
"4996",75,"At or above Bachelor","Alberta",0
"4997",60,"High School","Quebec",1
"4998",53,"College","Ontario",0
"4999",61,"At or above Bachelor","Ontario",1
"5000",21,"At or above Bachelor","Ontario",1
"5001",65,"High School","Ontario",1
"5002",29,"High School","Quebec",1
"5003",97,"High School","Quebec",1
"5004",27,"At or above Bachelor","Ontario",1
"5005",78,"High School","Saskatchewan",0
"5006",68,"High School","Quebec",1
"5007",22,"At or above Bachelor","Ontario",1
"5008",33,"At or above Bachelor","Saskatchewan",0
"5009",27,"At or above Bachelor","British Columbia",0
"5010",74,"High School","Quebec",1
"5011",61,"High School","Ontario",0
"5012",62,"High School","Saskatchewan",0
"5013",71,"College","Ontario",0
"5014",29,"Below high school","Saskatchewan",0
"5015",69,"At or above Bachelor","Ontario",1
"5016",30,"At or above Bachelor","Ontario",0
"5017",52,"At or above Bachelor","British Columbia",1
"5018",84,"College","British Columbia",1
"5019",50,"At or above Bachelor","Ontario",0
"5020",66,"College","Quebec",0
"5021",54,"At or above Bachelor","Quebec",1
"5022",68,"College","Alberta",1
"5023",57,"College","Ontario",0
"5024",40,"At or above Bachelor","Manitoba",1
"5025",65,"College","Ontario",1
"5026",69,"At or above Bachelor","Ontario",1
"5027",47,"College","Alberta",0
"5028",48,"At or above Bachelor","Quebec",1
"5029",36,"At or above Bachelor","British Columbia",0
"5030",83,"High School","Ontario",0
"5031",58,"High School","British Columbia",0
"5032",63,"At or above Bachelor","Ontario",1
"5033",70,"High School","British Columbia",0
"5034",45,"At or above Bachelor","Ontario",1
"5035",42,"At or above Bachelor","British Columbia",0
"5036",73,"High School","British Columbia",0
"5037",57,"College","Quebec",1
"5038",67,"At or above Bachelor","Ontario",1
"5039",77,"High School","Alberta",1
"5040",86,"College","Ontario",1
"5041",37,"College","Ontario",1
"5042",26,"High School","Ontario",1
"5043",40,"High School","Alberta",0
"5044",49,"Below high school","Quebec",0
"5045",70,"High School","British Columbia",0
"5046",58,"High School","Ontario",1
"5047",33,"At or above Bachelor","Quebec",1
"5048",37,"At or above Bachelor","Alberta",1
"5049",46,"College","Quebec",0
"5050",37,"High School","Quebec",1
"5051",39,"At or above Bachelor","Ontario",1
"5052",71,"College","Quebec",1
"5053",66,"At or above Bachelor","Ontario",0
"5054",54,"At or above Bachelor","Ontario",1
"5055",66,"College","Alberta",1
"5056",35,"High School","Alberta",1
"5057",26,"At or above Bachelor","Alberta",0
"5058",67,"High School","Alberta",1
"5059",67,"Below high school","Alberta",0
"5060",39,"High School","Quebec",1
"5061",59,"High School","Ontario",1
"5062",75,"At or above Bachelor","Quebec",1
"5063",21,"High School","Ontario",1
"5064",71,"At or above Bachelor","Manitoba",1
"5065",62,"High School","Alberta",0
"5066",64,"At or above Bachelor","Ontario",1
"5067",44,"At or above Bachelor","Ontario",1
"5068",75,"College","Ontario",0
"5069",60,"At or above Bachelor","Ontario",1
"5070",56,"At or above Bachelor","Ontario",1
"5071",78,"At or above Bachelor","British Columbia",0
"5072",39,"At or above Bachelor","British Columbia",0
"5073",35,"At or above Bachelor","Saskatchewan",1
"5074",72,"High School","Ontario",1
"5075",76,"College","Quebec",1
"5076",40,"High School","Quebec",0
"5077",65,"High School","Alberta",0
"5078",73,"High School","British Columbia",1
"5079",71,"High School","Ontario",0
"5080",70,"High School","British Columbia",1
"5081",80,"At or above Bachelor","Ontario",0
"5082",47,"At or above Bachelor","Ontario",0
"5083",74,"College","British Columbia",0
"5084",63,"At or above Bachelor","Ontario",0
"5085",71,"High School","British Columbia",0
"5086",62,"High School","British Columbia",0
"5087",24,"College","Quebec",1
"5088",69,"At or above Bachelor","Saskatchewan",0
"5089",41,"At or above Bachelor","British Columbia",1
"5090",66,"High School","Quebec",1
"5091",27,"High School","New Brunswick",0
"5092",76,"College","Alberta",0
"5093",65,"College","British Columbia",1
"5094",62,"At or above Bachelor","Alberta",0
"5095",82,"High School","Alberta",0
"5096",54,"At or above Bachelor","Quebec",0
"5097",22,"College","Ontario",1
"5098",72,"At or above Bachelor","British Columbia",1
"5099",36,"College","Ontario",1
"5100",68,"At or above Bachelor","Quebec",1
"5101",42,"At or above Bachelor","British Columbia",0
"5102",38,"At or above Bachelor","Alberta",0
"5103",39,"At or above Bachelor","Quebec",0
"5104",72,"At or above Bachelor","Ontario",1
"5105",59,"High School","Ontario",0
"5106",57,"At or above Bachelor","Ontario",1
"5107",36,"College","Ontario",0
"5108",38,"At or above Bachelor","Quebec",1
"5109",69,"High School","New Brunswick",0
"5110",71,"At or above Bachelor","Manitoba",1
"5111",67,"High School","Manitoba",1
"5112",64,"At or above Bachelor","Ontario",0
"5113",54,"At or above Bachelor","Ontario",0
"5114",80,"High School","Ontario",1
"5115",68,"College","Ontario",0
"5116",69,"High School","Ontario",0
"5117",77,"High School","Saskatchewan",0
"5118",69,"Below high school","Alberta",0
"5119",62,"College","Ontario",0
"5120",73,"At or above Bachelor","Ontario",0
"5121",50,"College","Quebec",1
"5122",66,"At or above Bachelor","Alberta",0
"5123",55,"At or above Bachelor","Ontario",0
"5124",69,"At or above Bachelor","Quebec",0
"5125",71,"High School","Alberta",0
"5126",44,"At or above Bachelor","Quebec",1
"5127",71,"At or above Bachelor","Ontario",0
"5128",55,"High School","Ontario",1
"5129",67,"At or above Bachelor","Ontario",1
"5130",71,"High School","British Columbia",1
"5131",70,"High School","Ontario",0
"5132",73,"At or above Bachelor","Saskatchewan",1
"5133",80,"At or above Bachelor","Saskatchewan",0
"5134",97,"High School","Ontario",1
"5135",47,"College","Alberta",1
"5136",55,"High School","Alberta",0
"5137",48,"High School","Ontario",1
"5138",70,"At or above Bachelor","Ontario",1
"5139",33,"High School","Ontario",1
"5140",60,"At or above Bachelor","British Columbia",1
"5141",68,"Below high school","Quebec",0
"5142",42,"At or above Bachelor","Alberta",0
"5143",47,"High School","Ontario",1
"5144",71,"High School","Ontario",0
"5145",21,"High School","Ontario",0
"5146",69,"High School","Quebec",1
"5147",74,"At or above Bachelor","Ontario",0
"5148",67,"At or above Bachelor","Ontario",0
"5149",73,"High School","British Columbia",0
"5150",55,"High School","Ontario",1
"5151",39,"Below high school","Ontario",1
"5152",78,"High School","British Columbia",0
"5153",76,"High School","Quebec",1
"5154",61,"College","British Columbia",0
"5155",66,"At or above Bachelor","Quebec",0
"5156",37,"At or above Bachelor","Ontario",0
"5157",64,"At or above Bachelor","British Columbia",1
"5158",73,"High School","British Columbia",0
